Task Name,WBS Code (PPSA),Role Name (Pricing Sheet Original Reference - Do n,Assigned To,Budgeted Hours from WBS,Effort (hrs),Worked Task Hours,Remaining Task Hours,Duration,Start Date,End Date,Predecessors,% Allocation,Task Type,Comments,Open for Time,Worked Minutes (PPSA),Remaining Minutes (PPSA)
P0 (Phase 0),1,,,618,618,0,618,68d,08/24/25,11/26/25,,,,,TRUE,0,37080
P0-Delivery / Project Management,1.1,,,118,118,0,118,68d,08/24/25,11/26/25,,,,,TRUE,0,7080
Phase 0 Day Before,1.1.1,,,,,0,0,1d,08/24/25,08/24/25,,,P1-Employee Central,,,0,0
PM-USA-P0-1,1.1.2,(US Project Manager-P0-1),(Project Manager - Lead 1),118,118,0,118,67d,08/25/25,11/26/25,3,22%,P0-PM Only,,TRUE,0,7080
39 - Recruiting  / ONB - Advisory Services,1.1.3,,,,,0,0,19d,08/25/25,09/19/25,3,,P1-Employee Central,,TRUE,0,0
40 - Core - Advisory Services,1.1.4,,,,,0,0,9d,08/25/25,09/05/25,3,,P1-Employee Central,,,0,0
41 - Talent - Advisory Services,1.1.5,,,,,0,0,19d,08/25/25,09/19/25,3,,P1-Employee Central,,TRUE,0,0
P0-39 - Recruiting  / ONB - Advisory Services,1.2,,,150,150,0,150,48d,09/22/25,11/26/25,5,,,39,,0,9000
Phase 0 Advisory-Rec,1.2.1,(39-Rec/Onb Advisory-Phase 0 Advisory-Rec-Lead-USA-P0-1),(Recruiting / ONB - Advisory Services - Lead 1),150,150,0,150,48d,09/22/25,11/26/25,,39%,P0-Recruiting  / ONB - Advisory Services,,,0,9000
P0-40 - Core - Advisory Services,1.3,,,200,200,0,200,40d,09/08/25,10/31/25,6,,,40,TRUE,0,12000
Phase 0 Advisory -EC,1.3.1,(40-Core Advisory-Phase 0 Advisory -EC-Lead-USA-P0-1),(Core - Advisory Services - Lead 1),200,200,0,200,40d,09/08/25,10/31/25,,63%,P0-Core - Advisory Services,,TRUE,0,12000
P0-41 - Talent - Advisory Services,1.4,,,150,150,0,150,48d,09/22/25,11/26/25,7,,,41,,0,9000
Phase 0 Advisory-Talent,1.4.1,(31-Talent Advisory-Phase 0 Advisory-Talent-Lead-USA-P0-1),(Talent - Advisory Services - Lead 1),150,150,0,150,48d,09/22/25,11/26/25,,39%,P0-Talent - Advisory Services,,,0,9000
P1 (Phase 1),2,,,5250,5250,0,5750,452d,12/07/25,09/20/27,,,,,,0,345000
P1-Delivery / Project Management,2.1,,,1175,1175,0,1275,190d,12/07/25,09/04/26,,,,,,0,76500
Phase 1 Day Before,2.1.1,,,,,0,0,1d,12/07/25,12/07/25,,,P1-Employee Central,,,0,0
PM-USA-P1-1,2.1.2,(US Project Manager-P1-1),(Project Manager - Lead 11),450,550,0,550,189d,12/08/25,09/04/26,16,36%,P1-PM / DM / PC,,,0,33000
DM-LATAM-P1-2,2.1.3,(LATAM Delivery Manager-P1-2),(LATAM - Delivery Manager - Lead 12),450,375,0,375,189d,12/08/25,09/04/26,16,25%,P1-PM / DM / PC,,,0,22500
PC-LATAM-P1-3,2.1.4,(LATAM Project Coordinator-P1-3),(LATAM - Project Coordinator - Consultant 13),225,150,0,150,189d,12/08/25,09/04/26,16,10%,P1-PM / DM / PC,,,0,9000
PC-LATAM-P1-4,2.1.5,,(LATAM - Project Coordinator - Consultant 14),,150,0,150,189d,12/08/25,09/04/26,16,10%,P1-PM / DM / PC,,,0,9000
PE-USA-P1-4,2.1.6,(US Project Executive-P1-4),(Project Executive - Advisory 14),50,50,0,50,189d,12/08/25,09/04/26,16,3%,P1-PM / DM / PC,,,0,3000
1 - Employee Central,2.1.7,,,,,0,0,1d,12/08/25,12/08/25,16,,P1-Employee Central,,,0,0
2 - Employee Central Time / Time Off,2.1.8,,,,,0,0,23d,12/08/25,01/09/26,16,,P1-Employee Central,,,0,0
8 - Recruiting Management,2.1.9,,,,,0,0,33d,12/08/25,01/26/26,16,,P1-Employee Central,,,0,0
9 - Recruiting Marketing,2.1.10,,,,,0,0,33d,12/08/25,01/26/26,16,,P1-Employee Central,,,0,0
10 - Onboarding,2.1.11,,,,,0,0,33d,12/08/25,01/26/26,16,,P1-Employee Central,,,0,0
12 - Compensation Management,2.1.12,,,,,0,0,37d,12/08/25,01/30/26,16,,P1-Employee Central,,,0,0
P1-1 - Employee Central,2.2,,,850,850,0,1050,450d,12/09/25,09/20/27,22,,,1,,0,63000
Advanced data migration,2.2.1,(1-EC-Advanced data migration-Consultant-USA-P1-1),"(Employee Central - Consultant 11)
(Employee Central - Lead 13)",50,50,0,50,450d,12/09/25,09/20/27,,1%,P1-Employee Central,,,0,3000
Core scope,2.2.2,(1-EC-Core scope-Consultant-LATAM-P1-2),(LATAM - Employee Central - Consultant 12),400,100,0,100,149d,12/09/25,07/13/26,,8%,P1-Employee Central,,,0,6000
Core scope,2.2.3,(1-EC-Core scope-Consultant-LATAM-P1-2),(LATAM - Employee Central - 14),400,400,0,400,149d,12/09/25,07/13/26,,34%,P1-Employee Central,,,0,24000
Core scope,2.2.4,,(Employee Central - Advisory),0,100,0,100,149d,12/09/25,07/13/26,,8%,P1-Employee Central,,,0,6000
Core scope,2.2.5,(1-EC-Core scope-Lead-USA-P1-3),(Employee Central - Lead 13),400,400,0,400,149d,12/09/25,07/13/26,,34%,P1-Employee Central,,,0,24000
P1-2 - Employee Central Time / Time Off,2.3,,,1050,1050,0,1050,126d,01/12/26,07/10/26,23,,,2,,0,63000
